Usernames,Title,isCheater?
hikaru,GM,False
gmg16,None,False
magnuscarlsen,GM,False
fabianocaruana,GM,False
chefshouse,GM,False
lachesisq,GM,False
gmwso,GM,False
sebastian,GM,False
firouzja2003,GM,False
anishgiri,GM,False
anand,GM,False
vincentkeymer,GM,False
rpragchess,GM,False
parhamov,GM,False
viditchess,GM,False
lovevae,GM,False
lyonbeast,GM,False
grischuk,GM,False
polish_fighter3000,GM,False
liemle,GM,False
ghandeevam2003,GM,False
gukeshdommaraju,GM,False
levonaronian,GM,False
chesswarrior7197,GM,False
gothamchess,IM,False
danielnaroditsky,GM,False
zivkovicn,IM,False
acciochess,IM,False
m_ezat,IM,False
whiteglovethief,IM,False
forest_of_magic,IM,False
matagordo,IM,False
qsjtgx,IM,False
m-henni,IM,False
alonmindlin,IM,False
pedrogil25,FM,False
alexsuper1987,FM,False
thomasshelby21623,FM,False
mikasinski,FM,False
omerkhanfm,FM,False
kyawlayhtaik8,FM,False
anvikr,FM,False
er_is_geen_hoop_meer,FM,False
sirstrateg,FM,False
vlad_thechesslover,FM,False
iaspet,CM,False
cool64chess,CM,False
grouvilleknight,CM,False
stepanosinovsky,CM,False
kinga2008,CM,False
wqws,CM,False
ved1703,CM,False
ajedrez-facil,CM,False
mohssenbinaddi,CM,False
pwctome,None,False
boomwhat1000,None,False
cyrodario,None,False
unstopablen,None,False
dragonb198l7,None,False
smorrell68,None,False